Sport,Class,Time,# Byes,Tournament Start Date,Tournament Start Time,Tournament End Date,Tournament End Time
Doubles Court Tennis,A,90,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Doubles Court Tennis,B,90,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Doubles Court Tennis,C,60,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Doubles Court Tennis,D,60,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Doubles Squash,A,60,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Doubles Squash,B,45,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Doubles Racquets,A,60,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Squash,A,60,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Squash,B,45,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Squash,C,45,0,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
Racquets,A,60,3,01/06/22,05:00:00 PM,01/08/22,03:00:00 PM
